会社名,slug,業界,factsheet,10コマ,企業紹介,決算書,AI OB
三井化学,mitsui-chemical,鉄鋼・素材・化学,✓,,,,✓
AGC,agc,鉄鋼・素材・化学,✓,✓,,,✓
武田薬品工業,takeda,製薬・ヘルスケア,✓,✓,,,✓
アステラス製薬,astellas,製薬・ヘルスケア,✓,,,,
第一三共,daiichi-sankyo,製薬・ヘルスケア,✓,✓,,,✓
中外製薬,chugai,製薬・ヘルスケア,✓,✓,,,✓
大塚ホールディングス,otsuka-hd,製薬・ヘルスケア,✓,,,,✓
エーザイ,eisai,製薬・ヘルスケア,✓,✓,,,✓
塩野義製薬,shionogi,製薬・ヘルスケア,✓,✓,,,✓
三菱UFJ銀行,mufg,銀行・証券・保険,✓,✓,,,✓
三井住友銀行,smbc-bank,銀行・証券・保険,✓,✓,,,✓
みずほフィナンシャルグループ,mizuho-fg,銀行・証券・保険,✓,✓,,,✓
日本生命保険,nippon-life,銀行・証券・保険,✓,✓,,,✓
第一生命保険,daiichi-life,銀行・証券・保険,✓,✓,,,✓
ゆうちょ銀行,yucho,銀行・証券・保険,✓,✓,,,✓
東京海上日動火災保険,tokio-marine,銀行・証券・保険,✓,✓,,,✓
三井住友信託銀行,smtb,銀行・証券・保険,✓,✓,,,✓
りそな銀行,resona,銀行・証券・保険,✓,✓,,,✓
野村證券,nomura,銀行・証券・保険,✓,✓,,,
大和証券,daiwa,銀行・証券・保険,✓,✓,,,✓
三菱UFJモルガン・スタンレー証券,mufg-ms,銀行・証券・保険,✓,✓,,,✓
SMBC日興証券,smbc-nikko,銀行・証券・保険,✓,✓,,,✓
みずほ証券,mizuho-sec,銀行・証券・保険,✓,✓,,,✓
SBI証券,sbi-sec,銀行・証券・保険,✓,✓,,,✓
明治安田生命保険,meiji-yasuda,銀行・証券・保険,✓,✓,,,✓
住友生命保険,sumitomo-life,銀行・証券・保険,✓,✓,,,✓
三井住友海上火災保険,ms-ad,銀行・証券・保険,✓,✓,,,✓
損害保険ジャパン,sompo,銀行・証券・保険,✓,✓,,,✓
あいおいニッセイ同和損害保険,aioi-nissay,銀行・証券・保険,✓,✓,,,✓
かんぽ生命保険,kampo,銀行・証券・保険,✓,✓,,,✓
太陽生命保険,taiyo-life,銀行・証券・保険,✓,✓,,,✓
三菱UFJ信託銀行,mufg-trust,銀行・証券・保険,✓,✓,,,✓
オリックス,orix,銀行・証券・保険,✓,✓,,,✓
三菱HCキャピタル,mitsubishi-hc,銀行・証券・保険,✓,✓,,,✓
東京センチュリー,tokyo-century,銀行・証券・保険,✓,✓,,,✓
クレディセゾン,credit-saison,銀行・証券・保険,✓,✓,,,✓
オリエントコーポレーション（オリコ）,orico,銀行・証券・保険,✓,✓,,,✓
アコム,acom,銀行・証券・保険,✓,✓,,,✓
横浜銀行,hamagin,銀行・証券・保険,✓,✓,,,✓
千葉銀行,chibagin,銀行・証券・保険,✓,✓,,,✓
静岡銀行,shizuokagin,銀行・証券・保険,✓,✓,,,✓
住信SBIネット銀行,sumishin-sbi-net,銀行・証券・保険,✓,✓,,,✓
楽天銀行,rakuten-bank,銀行・証券・保険,✓,✓,,,✓
PayPay銀行,paypay-bank,銀行・証券・保険,✓,✓,,,✓
日本取引所グループ（JPX）,jpx,銀行・証券・保険,✓,✓,,,✓
日本政策投資銀行（DBJ）,dbj,銀行・証券・保険,✓,✓,,,✓
国際協力銀行（JBIC）,jbic,銀行・証券・保険,✓,✓,,,✓
商工組合中央金庫（商工中金）,shoko-chukin,銀行・証券・保険,✓,✓,,,✓
農林中央金庫,norinchukin,銀行・証券・保険,✓,✓,,,✓
NTT（日本電信電話）,ntt,IT・通信・SaaS,✓,✓,,,✓
NTTデータ,ntt-data,IT・通信・SaaS,✓,,,,✓
NTTドコモ,ntt-docomo,IT・通信・SaaS,✓,,,,✓
KDDI,kddi,IT・通信・SaaS,✓,,,,✓
ソフトバンク,softbank,IT・通信・SaaS,✓,,,,✓
楽天グループ,rakuten-group,IT・通信・SaaS,✓,,,,✓
富士通,fujitsu,IT・通信・SaaS,✓,,,,✓
NEC,nec,IT・通信・SaaS,✓,,,,✓
大塚商会,otsuka-shokai,IT・通信・SaaS,✓,,,,✓
TIS,tis,IT・通信・SaaS,✓,,,,✓
SCSK,scsk,IT・通信・SaaS,✓,,,,✓
伊藤忠テクノソリューションズ（CTC）,ctc,IT・通信・SaaS,✓,,,,✓
日鉄ソリューションズ,ns-solutions,IT・通信・SaaS,✓,,,,✓
BIPROGY,biprogy,IT・通信・SaaS,✓,,,,✓
Sky,sky,IT・通信・SaaS,✓,,,,✓
SHIFT,shift,IT・通信・SaaS,✓,,,,✓
リクルートホールディングス,recruit-hd,IT・通信・SaaS,✓,,,,✓
サイバーエージェント,cyberagent,IT・通信・SaaS,✓,,,,✓
ディー・エヌ・エー（DeNA）,dena,IT・通信・SaaS,✓,,,,✓
グリー（GREE）,gree,IT・通信・SaaS,✓,,,,✓
MIXI,mixi,IT・通信・SaaS,✓,,,,✓
メルカリ,mercari,IT・通信・SaaS,✓,,,,✓
LINEヤフー,line-yahoo,IT・通信・SaaS,✓,,,,✓
GMOインターネットグループ,gmo,IT・通信・SaaS,✓,,,,✓
Sansan,sansan,IT・通信・SaaS,✓,,,,✓
freee,freee,IT・通信・SaaS,✓,,,,✓
マネーフォワード,moneyforward,IT・通信・SaaS,✓,,,,✓
ラクス,rakus,IT・通信・SaaS,✓,,,,✓
ビジョナル（ビズリーチ）,visional,IT・通信・SaaS,✓,,,,✓
SmartHR,smarthr,IT・通信・SaaS,✓,,,,✓
LayerX,layerx,IT・通信・SaaS,✓,,,,✓
カオナビ,kaonavi,IT・通信・SaaS,✓,,,,✓
kubell（旧Chatwork）,kubell,IT・通信・SaaS,✓,,,,✓
ユーザベース,uzabase,IT・通信・SaaS,✓,,,,✓
プレイド,plaid,IT・通信・SaaS,✓,,,,✓
Preferred Networks,pref-networks,IT・通信・SaaS,✓,,,,✓
Sakana AI,sakana-ai,IT・通信・SaaS,✓,,,,✓
PKSHA Technology,pksha,IT・通信・SaaS,✓,,,,✓
Appier Group,appier,IT・通信・SaaS,✓,,,,✓
ブレインパッド,brainpad,IT・通信・SaaS,✓,,,,✓
FRONTEO,fronteo,IT・通信・SaaS,✓,,,,✓
ABEJA,abeja,IT・通信・SaaS,✓,,,,✓
ELYZA,elyza,IT・通信・SaaS,✓,,,,✓
Turing,turing,IT・通信・SaaS,✓,,,,✓
任天堂,nintendo,ゲーム・エンタメ,✓,,,,✓
バンダイナムコホールディングス,bandai-namco,ゲーム・エンタメ,✓,,,,✓
カプコン,capcom,ゲーム・エンタメ,✓,,,,✓
スクウェア・エニックス・ホールディングス,square-enix,ゲーム・エンタメ,✓,,,,✓
コナミグループ,konami,ゲーム・エンタメ,✓,,,,✓
セガサミーホールディングス,sega-sammy,ゲーム・エンタメ,✓,,,,✓
マッキンゼー・アンド・カンパニー,mckinsey,コンサル,✓,✓,,,✓
ボストン コンサルティング グループ（BCG）,bcg,コンサル,✓,✓,,,✓
ベイン・アンド・カンパニー,bain,コンサル,✓,✓,,,
